Category,Event,Event description,Timepoint start,Timepoint end,Quantity outcome 1,Reference/link to data,Accessed on
Intra-state (civil) wars,First Two Sicilies War of 1820-1821,"Civil war - for central control: Austria, Two Sicilies vs. Liberals",1820,1821,2000,"Sarkees, Meredith Reid and Frank Wayman (2010). Resort to War: 1816 – 2007. Washington DC: CQ Press.",2023-03-23
Intra-state (civil) wars,Bolivan Perez Rebellion of 1862,Civil war - for central control: Bolivia vs. Perez-led Rebels,1862,1862,1500,"Sarkees, Meredith Reid and Frank Wayman (2010). Resort to War: 1816 – 2007. Washington DC: CQ Press.",2023-03-23
Intra-state (civil) wars,Second Argentina War of 1863,Civil war - for central control: Argentina vs. Monteneros,1863,1863,2500,"Sarkees, Meredith Reid and Frank Wayman (2010). Resort to War: 1816 – 2007. Washington DC: CQ Press.",2023-03-23
Intra-state (civil) wars,Ikhwan Revolt of 1929-1930,Civil war - for central control: Saudi Arabia vs. Ikhwan,1929,1930,2000,"Sarkees, Meredith Reid and Frank Wayman (2010). Resort to War: 1816 – 2007. Washington DC: CQ Press.",2023-03-23
Intra-state (civil) wars,Central Plains War of 1929-1930,Civil war - for central control: China vs. Warlord Armies,1929,1930,100000,"Sarkees, Meredith Reid and Frank Wayman (2010). Resort to War: 1816 – 2007. Washington DC: CQ Press.",2023-03-23
Intra-state (civil) wars,Brazil Federalists War of 1893-1894,Civil war - for central control: Brazil vs. Rio Grande do Sul,1893,1894,3000,"Sarkees, Meredith Reid and Frank Wayman (2010). Resort to War: 1816 – 2007. Washington DC: CQ Press.",2023-03-23
Intra-state (civil) wars,Second Two Sicilies War of 1848-1849,Civil war - for central control: Two Sicilies vs. Liberals,1848,1849,0,"Sarkees, Meredith Reid and Frank Wayman (2010). Resort to War: 1816 – 2007. Washington DC: CQ Press.",2023-03-23
Intra-state (civil) wars,Chinese Civil War phase 1 of 1930-1936,Civil war - for central control: China vs. Chinese Workers,1930,1936,400000,"Sarkees, Meredith Reid and Frank Wayman (2010). Resort to War: 1816 – 2007. Washington DC: CQ Press.",2023-03-23
Intra-state (civil) wars,Janissari Revolt of 1826,Civil war - for central control: Ottoman Empire vs. Janissaries,1826,1826,6360,"Sarkees, Meredith Reid and Frank Wayman (2010). Resort to War: 1816 – 2007. Washington DC: CQ Press.",2023-03-23
Intra-state (civil) wars,Viennese Revolt of 1848,Civil war - for central control: Austria vs. Vienna Liberals,1848,1848,3241,"Sarkees, Meredith Reid and Frank Wayman (2010). Resort to War: 1816 – 2007. Washington DC: CQ Press.",2023-03-23
Intra-state (civil) wars,Ecuador Liberals War of 1895,Civil war - for central control: Ecuador vs. Liberals,1895,1895,1000,"Sarkees, Meredith Reid and Frank Wayman (2010). Resort to War: 1816 – 2007. Washington DC: CQ Press.",2023-03-23
Intra-state (civil) wars,Matanza War of 1932,Civil war - for central control: El Salvador vs. Leftists,1932,1932,2600,"Sarkees, Meredith Reid and Frank Wayman (2010). Resort to War: 1816 – 2007. Washington DC: CQ Press.",2023-03-23
Intra-state (civil) wars,Chad - Deby War of 1989-1990,Civil war - for central control: Chad vs. April 1 Movement,1989,1990,3800,"Sarkees, Meredith Reid and Frank Wayman (2010). Resort to War: 1816 – 2007. Washington DC: CQ Press.",2023-03-23
Intra-state (civil) wars,Venezualan Blue Revolution of 1867-1868,Civil war - for central control: Venezuela vs. Blue Coalition,1867,1868,1000,"Sarkees, Meredith Reid and Frank Wayman (2010). Resort to War: 1816 – 2007. Washington DC: CQ Press.",2023-03-23
Intra-state (civil) wars,Paulista Rebellion of 1932,Civil war - for central control: Brazil vs. Paulistas,1932,1932,3250,"Sarkees, Meredith Reid and Frank Wayman (2010). Resort to War: 1816 – 2007. Washington DC: CQ Press.",2023-03-23
Intra-state (civil) wars,First Chilean War of 1851-1852,Civil war - for central control: Chile vs. Liberals,1851,1852,4000,"Sarkees, Meredith Reid and Frank Wayman (2010). Resort to War: 1816 – 2007. Washington DC: CQ Press.",2023-03-23
Intra-state (civil) wars,Fukien Revolt of 1933-1934,Civil war - for central control: China vs. 19th Route Army,1933,1934,1000,"Sarkees, Meredith Reid and Frank Wayman (2010). Resort to War: 1816 – 2007. Washington DC: CQ Press.",2023-03-23
Intra-state (civil) wars,Guerre des Cacos of 1868-1869,Civil war - for central control: Haiti vs. Cacos,1868,1869,1100,"Sarkees, Meredith Reid and Frank Wayman (2010). Resort to War: 1816 – 2007. Washington DC: CQ Press.",2023-03-23
Intra-state (civil) wars,Venezuelan Yellow Revolution of 1869-1872,Civil war - for central control: Venezuela vs. Liberals,1869,1872,2500,"Sarkees, Meredith Reid and Frank Wayman (2010). Resort to War: 1816 – 2007. Washington DC: CQ Press.",2023-03-23
Intra-state (civil) wars,Fourth Venezuelan War of 1899,Civil war - for central control: Venezuela vs. Castro-led Rebels,1899,1899,3000,"Sarkees, Meredith Reid and Frank Wayman (2010). Resort to War: 1816 – 2007. Washington DC: CQ Press.",2023-03-23
Intra-state (civil) wars,KMT-CCP Clashes of 1939-1941,Civil war - for central control: China vs. CCP,1939,1941,31000,"Sarkees, Meredith Reid and Frank Wayman (2010). Resort to War: 1816 – 2007. Washington DC: CQ Press.",2023-03-23
Intra-state (civil) wars,Colombia's Barracks Rebellion of 1854,Civil war - for central control: Colombia vs. Constitutionalists,1854,1854,2000,"Sarkees, Meredith Reid and Frank Wayman (2010). Resort to War: 1816 – 2007. Washington DC: CQ Press.",2023-03-23
Intra-state (civil) wars,Paris Commune War of 1871,Civil war - for central control: France vs. Paris Commune,1871,1871,21379,"Sarkees, Meredith Reid and Frank Wayman (2010). Resort to War: 1816 – 2007. Washington DC: CQ Press.",2023-03-23
Intra-state (civil) wars,Mujahideen Uprising of 1978-1980,"Civil war - for central control: Russia, Afghanistan vs. Mujahideen",1978,1980,14900,"Sarkees, Meredith Reid and Frank Wayman (2010). Resort to War: 1816 – 2007. Washington DC: CQ Press.",2023-03-23
Intra-state (civil) wars,Puebla War of 1855-1856,Civil war - for central control: Mexico vs. Conservative Military,1855,1856,1200,"Sarkees, Meredith Reid and Frank Wayman (2010). Resort to War: 1816 – 2007. Washington DC: CQ Press.",2023-03-23
Intra-state (civil) wars,Mexican Reform of 1858-1861,Civil war - for central control: Mexico vs. Liberals,1858,1861,8000,"Sarkees, Meredith Reid and Frank Wayman (2010). Resort to War: 1816 – 2007. Washington DC: CQ Press.",2023-03-23
Intra-state (civil) wars,First Uruguay War of 1904,Civil war - for central control: Uruguay vs. Blancos,1904,1904,1600,"Sarkees, Meredith Reid and Frank Wayman (2010). Resort to War: 1816 – 2007. Washington DC: CQ Press.",2023-03-23
Intra-state (civil) wars,Mitre Rebellion of 1874,Civil war - for central control: Argentina vs. Mitre-led Rebels,1874,1874,1000,"Sarkees, Meredith Reid and Frank Wayman (2010). Resort to War: 1816 – 2007. Washington DC: CQ Press.",2023-03-23
Intra-state (civil) wars,Constituent Revolution  of 1859,Civil war - for central control: Chile vs. Constituents,1859,1859,2000,"Sarkees, Meredith Reid and Frank Wayman (2010). Resort to War: 1816 – 2007. Washington DC: CQ Press.",2023-03-23
Intra-state (civil) wars,Diaz Revolt of 1876,Civil war - for central control: Mexico vs. Tuxtepecanos,1876,1876,3100,"Sarkees, Meredith Reid and Frank Wayman (2010). Resort to War: 1816 – 2007. Washington DC: CQ Press.",2023-03-23
Intra-state (civil) wars,Honduran Conservative War of 1924,Civil war - for central control: Honduras vs. Conservatives,1924,1924,3000,"Sarkees, Meredith Reid and Frank Wayman (2010). Resort to War: 1816 – 2007. Washington DC: CQ Press.",2023-03-23
Intra-state (civil) wars,Mozambique War of 1981-1992,"Civil war - for central control: Cuba, Tanzania, Mozambique, Zimbabwe, Malawi vs. RENAMO",1981,1992,20560,"Sarkees, Meredith Reid and Frank Wayman (2010). Resort to War: 1816 – 2007. Washington DC: CQ Press.",2023-03-23
Intra-state (civil) wars,Sanaa Revolt of 1948,Civil war - for central control: Yemen vs. Pro-Ahmad Forces,1948,1948,2000,"Sarkees, Meredith Reid and Frank Wayman (2010). Resort to War: 1816 – 2007. Washington DC: CQ Press.",2023-03-23
Intra-state (civil) wars,Young Turks Counter-Coup of 1909,Civil war - for central control: Ottoman Empire vs. Constitutionalists,1909,1909,1000,"Sarkees, Meredith Reid and Frank Wayman (2010). Resort to War: 1816 – 2007. Washington DC: CQ Press.",2023-03-23
Intra-state (civil) wars,Contra War of 1982-1988,Civil war - for central control: Nicaragua vs. Contras,1982,1988,32400,"Sarkees, Meredith Reid and Frank Wayman (2010). Resort to War: 1816 – 2007. Washington DC: CQ Press.",2023-03-23
Intra-state (civil) wars,Revindication War of 1879,Civil war - for central control: Venezuela vs. Revindacadores,1879,1879,2000,"Sarkees, Meredith Reid and Frank Wayman (2010). Resort to War: 1816 – 2007. Washington DC: CQ Press.",2023-03-23
Intra-state (civil) wars,Telengana Rebellion of 1948-1950,Civil war - for central control: India vs. Hyderabad Communists,1948,1950,2250,"Sarkees, Meredith Reid and Frank Wayman (2010). Resort to War: 1816 – 2007. Washington DC: CQ Press.",2023-03-23
Intra-state (civil) wars,Cristeros Revolt of 1926-1929,Civil war - for central control: Mexico vs. Cristeros,1926,1929,90000,"Sarkees, Meredith Reid and Frank Wayman (2010). Resort to War: 1816 – 2007. Washington DC: CQ Press.",2023-03-23
Intra-state (civil) wars,Second South Sudan War of 1983-2002,"Civil war - for central control: Libya, Sudan vs. Uganda, SPLA-Garang faction",1983,1987,100000,"Sarkees, Meredith Reid and Frank Wayman (2010). Resort to War: 1816 – 2007. Washington DC: CQ Press.",2023-03-23
Intra-state (civil) wars,Indonesia Darul Islam Rebellion of 1951-1962,Civil war - for central control: Indonesia vs. Darul Islam,1951,1962,20000,"Sarkees, Meredith Reid and Frank Wayman (2010). Resort to War: 1816 – 2007. Washington DC: CQ Press.",2023-03-23
Intra-state (civil) wars,Thai Communist Insurgency of 1972-1973,Civil war - for central control: Thailand vs. People's Liberation Army,1972,1973,2000,"Sarkees, Meredith Reid and Frank Wayman (2010). Resort to War: 1816 – 2007. Washington DC: CQ Press.",2023-03-23
Intra-state (civil) wars,La Violencia second wave of 1955-1962,Civil war - for central control: Colombia vs. Liberal Guerillas,1955,1962,14000,"Sarkees, Meredith Reid and Frank Wayman (2010). Resort to War: 1816 – 2007. Washington DC: CQ Press.",2023-03-23
Intra-state (civil) wars,First Burundi War of 1972,Civil war - for central control: Burundi vs. Hutu,1972,1972,2000,"Sarkees, Meredith Reid and Frank Wayman (2010). Resort to War: 1816 – 2007. Washington DC: CQ Press.",2023-03-23
Intra-state (civil) wars,Sardinian Revolt of 1821,"Civil war - for central control: Austria, Sardinia vs. Piedmont Liberals",1821,1821,1000,"Sarkees, Meredith Reid and Frank Wayman (2010). Resort to War: 1816 – 2007. Washington DC: CQ Press.",2023-03-23
Intra-state (civil) wars,Zaili-Jinden Revolt of 1891,Civil war - for central control: China vs. Zailis and Jinden,1891,1891,10500,"Sarkees, Meredith Reid and Frank Wayman (2010). Resort to War: 1816 – 2007. Washington DC: CQ Press.",2023-03-23
Intra-state (civil) wars,Libyan Civil War of 2011,"Civil war - for central control: Libya vs. United States of America, United Kingdom, France, Canada, Italy, Spain, NLA",2001,2011,9000,"Sarkees, Meredith Reid and Frank Wayman (2010). Resort to War: 1816 – 2007. Washington DC: CQ Press.",2023-03-23
Intra-state (civil) wars,Permesta Rebellion of 1958-1961,Civil war - for central control: Indonesia vs. Permesta Rebels,1958,1961,6000,"Sarkees, Meredith Reid and Frank Wayman (2010). Resort to War: 1816 – 2007. Washington DC: CQ Press.",2023-03-23
Intra-state (civil) wars,First Lebanese War of 1958,"Civil war - for central control: United States of America, Lebanon vs. Syria, National Front",1958,1958,2500,"Sarkees, Meredith Reid and Frank Wayman (2010). Resort to War: 1816 – 2007. Washington DC: CQ Press.",2023-03-23
Intra-state (civil) wars,First Somalia War of 1988-1991,Civil war - for central control: Somalia vs. SNM,1988,1991,25000,"Sarkees, Meredith Reid and Frank Wayman (2010). Resort to War: 1816 – 2007. Washington DC: CQ Press.",2023-03-23
Intra-state (civil) wars,Third Peru War of 1894-1895,Civil war - for central control: Peru vs. National Coalition,1894,1895,4000,"Sarkees, Meredith Reid and Frank Wayman (2010). Resort to War: 1816 – 2007. Washington DC: CQ Press.",2023-03-23
Intra-state (civil) wars,Mosul Revolt of 1959,Civil war - for central control: Iraq vs. Pro-Western Factions,1959,1959,1200,"Sarkees, Meredith Reid and Frank Wayman (2010). Resort to War: 1816 – 2007. Washington DC: CQ Press.",2023-03-23
Intra-state (civil) wars,Vietnam War phase 1 of 1960-1965,"Civil war - for central control: United States of America, Republic of Vietnam vs. NLF, Democratic Republic of Vietnam",1960,1965,66958,"Sarkees, Meredith Reid and Frank Wayman (2010). Resort to War: 1816 – 2007. Washington DC: CQ Press.",2023-03-23
