Category,Event,Event description,Timepoint start,Timepoint end,Quantity outcome 1,Reference/link to data,Accessed on
Sovereign Debt Defaults,Panama - 2006,Emerging/frontier markets; Panama in default with Other_Official_Creditors,2006,2008,202.93,https://www.bankofcanada.ca/2022/08/staff-analytical-note-2022-11/,2023-03-30
Sovereign Debt Defaults,Papua New Guinea - 1996,Other developing countries; Papua New Guinea in default with Other_Official_Creditors,1996,1996,9.448,https://www.bankofcanada.ca/2022/08/staff-analytical-note-2022-11/,2023-03-30
Sovereign Debt Defaults,Papua New Guinea - 1998,Other developing countries; Papua New Guinea in default with Other_Official_Creditors,1998,1998,0.211,https://www.bankofcanada.ca/2022/08/staff-analytical-note-2022-11/,2023-03-30
Sovereign Debt Defaults,Papua New Guinea - 2002,Other developing countries; Papua New Guinea in default with Other_Official_Creditors,2002,2002,1.118,https://www.bankofcanada.ca/2022/08/staff-analytical-note-2022-11/,2023-03-30
Sovereign Debt Defaults,Papua New Guinea - 2013,"Other developing countries; Papua New Guinea in default with Other_Official_Creditors, Private_Creditors, China, Paris_Club",2013,2021,622.1146133,https://www.bankofcanada.ca/2022/08/staff-analytical-note-2022-11/,2023-03-30
Sovereign Debt Defaults,Paraguay - 1970,"Emerging/frontier markets; Paraguay in default with Private_Creditors, Other_Official_Creditors, FC_Bank_Loans, FC_Bonds",1970,2013,1130.40108,https://www.bankofcanada.ca/2022/08/staff-analytical-note-2022-11/,2023-03-30
Sovereign Debt Defaults,Paraguay - 2015,Emerging/frontier markets; Paraguay in default with Other_Official_Creditors,2015,2015,165.525,https://www.bankofcanada.ca/2022/08/staff-analytical-note-2022-11/,2023-03-30
Sovereign Debt Defaults,Peru - 1968,"Emerging/frontier markets; Peru in default with Paris_Club, Private_Creditors, FC_Bank_Loans",1968,1970,346.8,https://www.bankofcanada.ca/2022/08/staff-analytical-note-2022-11/,2023-03-30
Sovereign Debt Defaults,Peru - 1976,Emerging/frontier markets; Peru in default with FC_Bank_Loans,1976,1976,387,https://www.bankofcanada.ca/2022/08/staff-analytical-note-2022-11/,2023-03-30
Sovereign Debt Defaults,Peru - 1978,"Emerging/frontier markets; Peru in default with Paris_Club, FC_Bank_Loans, Private_Creditors, LC_Debt, Other_Official_Creditors, IMF, IBRD",1978,2021,17698,https://www.bankofcanada.ca/2022/08/staff-analytical-note-2022-11/,2023-03-30
Sovereign Debt Defaults,Philippines - 1970,Emerging/frontier markets; Philippines in default with FC_Bank_Loans,1970,1970,274.9,https://www.bankofcanada.ca/2022/08/staff-analytical-note-2022-11/,2023-03-30
Sovereign Debt Defaults,Philippines - 1976,"Emerging/frontier markets; Philippines in default with Private_Creditors, Paris_Club, Other_Official_Creditors, FC_Bank_Loans",1976,1994,14073.754,https://www.bankofcanada.ca/2022/08/staff-analytical-note-2022-11/,2023-03-30
Sovereign Debt Defaults,Philippines - 1998,"Emerging/frontier markets; Philippines in default with Other_Official_Creditors, Private_Creditors",1998,2003,1004.146,https://www.bankofcanada.ca/2022/08/staff-analytical-note-2022-11/,2023-03-30
Sovereign Debt Defaults,Philippines - 2005,"Emerging/frontier markets; Philippines in default with Private_Creditors, Other_Official_Creditors",2005,2008,1.839,https://www.bankofcanada.ca/2022/08/staff-analytical-note-2022-11/,2023-03-30
Sovereign Debt Defaults,Poland - 1961,Emerging/frontier markets; Poland in default with FC_Bonds,1961,1976,118.909,https://www.bankofcanada.ca/2022/08/staff-analytical-note-2022-11/,2023-03-30
Sovereign Debt Defaults,Poland - 1980,"Emerging/frontier markets; Poland in default with Paris_Club, FC_Bank_Loans, Other_Official_Creditors, Private_Creditors",1980,2002,48597.6,https://www.bankofcanada.ca/2022/08/staff-analytical-note-2022-11/,2023-03-30
