Event,Event description,Timepoint start,Timepoint end,Quantity outcome 1,Reference/link to data,Accessed on,Comment
Nine Years' War,"Combatants: France vs. League of Augsburg (Dutch, Habsburgs, England, Scotland, Spain and others)Location: Global (mainly Europe)",1688,1697,"680,000+",https://en.wikipedia.org/wiki/List_of_wars_by_death_toll,2023-01-20,[41]
Great Northern War,Combatants: Russia and allies vs. Swedish EmpireLocation: Eastern Europe,1700,1721,"350,000+",https://en.wikipedia.org/wiki/List_of_wars_by_death_toll,2023-01-20,"Sweden, the Swedish Baltic provinces, and Finland, together, with a population of only 2.5 million, lost some 350,000 dead during the war from all causes.[42]"
War of the Spanish Succession,Combatants: Grand Alliance vs. Bourbon AllianceLocation: Europe / Americas,1701,1714,"400,000-1,250,000",https://en.wikipedia.org/wiki/List_of_wars_by_death_toll,2023-01-20,[25]
Maratha expeditions in Bengal,"Combatants: Maratha Empire vs. Nawab of BengalLocation: India, Bangladesh",1741,1751,"400,000+",https://en.wikipedia.org/wiki/List_of_wars_by_death_toll,2023-01-20,[43][44]
Seven Years' War,Combatants: Great Britain and allies vs. France and AlliesLocation: Worldwide,1756,1763,"868,000-1,400,000",https://en.wikipedia.org/wiki/List_of_wars_by_death_toll,2023-01-20,
Sino-Burmese War,Combatants: Burma vs. Qing ChinaLocation: Southeast Asia,1765,1769,"70,000+",https://en.wikipedia.org/wiki/List_of_wars_by_death_toll,2023-01-20,- Also known as the Qing invasions of Burma
Tây Sơn rebellion,"Combatants: Tây Sơn rebels then dynasty (British supports) and Chinese pirates vs Nguyễn lords, Trịnh lords, Lê dynasty of Vietnam; Siam; Qing dynasty of China; Kingdom of Vientiane; French army.Location: Southeast Asia",1771,1802,"1,200,000-2,000,000+",https://en.wikipedia.org/wiki/List_of_wars_by_death_toll,2023-01-20,
American Revolutionary War,Combatants: United States and allies vs. British Empire and German MercenariesLocation: Worldwide,1775,1783,"70,000-116,000",https://en.wikipedia.org/wiki/List_of_wars_by_death_toll,2023-01-20,"37,324 battle dead, all sides, all theaters.[25][45][46][47][48] - Also known as the American War of Independence"
White Lotus Rebellion,Combatants: Qing China vs. White Lotus rebelsLocation: China,1794,1804,"100,000+",https://en.wikipedia.org/wiki/List_of_wars_by_death_toll,2023-01-20,
French campaign in Egypt and Syria,Combatants: France vs. Ottoman Empire and Great BritainLocation: Middle East / North Africa,1798,1801,"65,000+",https://en.wikipedia.org/wiki/List_of_wars_by_death_toll,2023-01-20,[25]
Saint-Domingue expedition,Combatants: France vs. Haiti and UKLocation: Haiti,1802,1803,"135,000+",https://en.wikipedia.org/wiki/List_of_wars_by_death_toll,2023-01-20,[32] - Part of the Haitian Revolution
Napoleonic Wars,Combatants: Coalition powers vs. French empire and alliesLocation: Worldwide,1803,1815,"3,500,000-7,000,000",https://en.wikipedia.org/wiki/List_of_wars_by_death_toll,2023-01-20,See: Napoleonic Wars casualties
Peninsular War,"Combatants: Spain, Portugal and United Kingdom vs. France, Kingdom of Italy and Duchy of WarsawLocation: Iberian Peninsula",1808,1814,"1,000,000+",https://en.wikipedia.org/wiki/List_of_wars_by_death_toll,2023-01-20,[32] - Part of the Napoleonic Wars
Spanish American wars of independence,Combatants: Spain vs. American IndependentistsLocation: Americas,1808,1833,"600,000+",https://en.wikipedia.org/wiki/List_of_wars_by_death_toll,2023-01-20,[49]
Venezuelan War of Independence,Combatants: Spain vs. Venezuelan statesLocation: Venezuela,1810,1823,"228,000+",https://en.wikipedia.org/wiki/List_of_wars_by_death_toll,2023-01-20,- Part of Spanish American Wars of Independence
Mfecane,Combatants: Ethnic communities in southern AfricaLocation: Modern day South Africa,1810s,1840s,"1,000,000-2,000,000",https://en.wikipedia.org/wiki/List_of_wars_by_death_toll,2023-01-20,[50][51][52][53]
French invasion of Russia,Combatants: French Empire vs. RussiaLocation: Russia,1812,,"540,000+",https://en.wikipedia.org/wiki/List_of_wars_by_death_toll,2023-01-20,[25] - Part of the Napoleonic Wars
Carlist Wars,Combatants: Carlist Insurgents vs. SpainLocation: Spain,1820,1876,"200,000+",https://en.wikipedia.org/wiki/List_of_wars_by_death_toll,2023-01-20,[49]
Greek War of Independence,Combatants: Greek Revolutionaries vs. Ottoman EmpireLocation: Greece,1821,1831,"170,000+",https://en.wikipedia.org/wiki/List_of_wars_by_death_toll,2023-01-20,
French conquest of Algeria,Combatants: France vs. Algerian resistanceLocation: Algeria,1830,1903,"595,665-1,095,665",https://en.wikipedia.org/wiki/List_of_wars_by_death_toll,2023-01-20,"Between 500,000 and 1,000,000, from approximately 3 million Algerians, were killed in the first three decades of the conquest.[54][55] French losses from 1830 to 1851 were 92,329 dead from disease and only 3,336 killed in action.[32][56][57]"
Taiping Rebellion,Combatants: Qing China vs. Taiping Heavenly KingdomLocation: China,1850,1864,"20,000,000-70,000,000",https://en.wikipedia.org/wiki/List_of_wars_by_death_toll,2023-01-20,[58][59][60] - Also known as the Taiping Civil War
