Category,Event,Event description,Timepoint start,Timepoint end,Quantity outcome 1,Reference/link to data,Accessed on
List of tsunamis,INDONESIA-KRAKATAU: 22/12/2018 13:55:NA,Earthquake mag: NA; Max water height (m): 85; Magnitude (Iida): NADeaths: 437,2018-12-22,2018-12-22,410,DOI:10.7289/V5PN93H7,2023-02-02
List of tsunamis,"JAPAN-NAGASAKI, JAPAN: 20/03/2019 NA:NA:NA",Earthquake mag: NA; Max water height (m): 2.9; Magnitude (Iida): NADeaths: NA,2019-03-20,2019-03-20,2,DOI:10.7289/V5PN93H7,2023-02-02
List of tsunamis,USA-LAKE ERIE: 14/04/2019 23:17:NA,Earthquake mag: NA; Max water height (m): 1.75; Magnitude (Iida): NADeaths: NA,2019-04-14,2019-04-14,2,DOI:10.7289/V5PN93H7,2023-02-02
List of tsunamis,"PAPUA NEW GUINEA-RABAUL, NEW BRITAIN: 14/05/2019 12:58:25",Earthquake mag: 7.6; Max water height (m): NA; Magnitude (Iida): NADeaths: NA,2019-05-14,2019-05-14,0,DOI:10.7289/V5PN93H7,2023-02-02
List of tsunamis,CHILE-CENTRAL CHILE: 14/06/2019 00:19:12,Earthquake mag: 6.4; Max water height (m): 0.07; Magnitude (Iida): NADeaths: NA,2019-06-14,2019-06-14,1,DOI:10.7289/V5PN93H7,2023-02-02
List of tsunamis,"NEW ZEALAND-S OF RAOUL ISLAND, KERMADEC ISLANDS: 15/06/2019 22:55:02",Earthquake mag: 7.2; Max water height (m): 0.14; Magnitude (Iida): NADeaths: NA,2019-06-15,2019-06-15,7,DOI:10.7289/V5PN93H7,2023-02-02
List of tsunamis,JAPAN-NIIGATA: 18/06/2019 13:22:19,Earthquake mag: 6.4; Max water height (m): 0.1; Magnitude (Iida): NADeaths: NA,2019-06-18,2019-06-18,5,DOI:10.7289/V5PN93H7,2023-02-02
List of tsunamis,INDONESIA-W. JAVA: 02/08/2019 12:03:27,Earthquake mag: 6.9; Max water height (m): NA; Magnitude (Iida): NADeaths: NA,2019-08-02,2019-08-02,6,DOI:10.7289/V5PN93H7,2023-02-02
List of tsunamis,ITALY-STROMBOLI ISLAND: 28/08/2019 NA:NA:NA,Earthquake mag: NA; Max water height (m): 0.3; Magnitude (Iida): NADeaths: NA,2019-08-28,2019-08-28,1,DOI:10.7289/V5PN93H7,2023-02-02
List of tsunamis,INDONESIA-N. MOLUCCAS ISLANDS: 14/11/2019 16:17:40,Earthquake mag: 7.1; Max water height (m): 0.11; Magnitude (Iida): NADeaths: NA,2019-11-14,2019-11-14,8,DOI:10.7289/V5PN93H7,2023-02-02
List of tsunamis,USA TERRITORY-PUERTO RICO: 07/01/2020 08:24:26,Earthquake mag: 6.4; Max water height (m): 0.06; Magnitude (Iida): NADeaths: NA,2020-01-07,2020-01-07,6,DOI:10.7289/V5PN93H7,2023-02-02
List of tsunamis,CUBA-OFF SE COAST: 28/01/2020 19:10:25,Earthquake mag: 7.7; Max water height (m): 0.11; Magnitude (Iida): NADeaths: NA,2020-01-28,2020-01-28,2,DOI:10.7289/V5PN93H7,2023-02-02
List of tsunamis,RUSSIA-N. KURIL ISLANDS: 25/03/2020 02:49:21,Earthquake mag: 7.5; Max water height (m): 0.5; Magnitude (Iida): NADeaths: NA,2020-03-25,2020-03-25,11,DOI:10.7289/V5PN93H7,2023-02-02
List of tsunamis,USA-GULF OF MEXICO: 23/04/2020 NA:NA:NA,Earthquake mag: NA; Max water height (m): 0.5; Magnitude (Iida): NADeaths: NA,2020-04-23,2020-04-23,1,DOI:10.7289/V5PN93H7,2023-02-02
List of tsunamis,GREECE-CRETE: 02/05/2020 12:51:06,Earthquake mag: 6.6; Max water height (m): 0.95; Magnitude (Iida): NADeaths: NA,2020-05-02,2020-05-02,15,DOI:10.7289/V5PN93H7,2023-02-02
List of tsunamis,INDONESIA-LESSER SUNDA: BALI: IJEN VOLCANO: 29/05/2020 05:30:NA,Earthquake mag: NA; Max water height (m): 3; Magnitude (Iida): NADeaths: NA,2020-05-29,2020-05-29,1,DOI:10.7289/V5PN93H7,2023-02-02
List of tsunamis,USA-GULF OF MEXICO: 13/06/2020 NA:NA:NA,Earthquake mag: NA; Max water height (m): 0.5; Magnitude (Iida): NADeaths: NA,2020-06-13,2020-06-13,1,DOI:10.7289/V5PN93H7,2023-02-02
List of tsunamis,"NEW ZEALAND-S OF RAOUL ISLAND, KERMADEC ISLANDS: 18/06/2020 12:49:53",Earthquake mag: 7.4; Max water height (m): 0.11; Magnitude (Iida): NADeaths: NA,2020-06-18,2020-06-18,4,DOI:10.7289/V5PN93H7,2023-02-02
List of tsunamis,MEXICO-OFF OF COAST OF OAXACA: 23/06/2020 15:29:05,Earthquake mag: 7.4; Max water height (m): 1.57; Magnitude (Iida): NADeaths: NA,2020-06-23,2020-06-23,9,DOI:10.7289/V5PN93H7,2023-02-02
List of tsunamis,"USA-SHUMAGIN ISLANDS, AK: 22/07/2020 06:12:44",Earthquake mag: 7.8; Max water height (m): 0.24; Magnitude (Iida): NADeaths: NA,2020-07-22,2020-07-22,9,DOI:10.7289/V5PN93H7,2023-02-02
List of tsunamis,"USA-SHUMAGIN ISLANDS, AK: 19/10/2020 20:54:39",Earthquake mag: 7.6; Max water height (m): 0.76; Magnitude (Iida): NADeaths: NA,2020-10-19,2020-10-19,17,DOI:10.7289/V5PN93H7,2023-02-02
List of tsunamis,TURKEY-AEGEAN SEA: 30/10/2020 11:51:27,Earthquake mag: 7; Max water height (m): 5.3; Magnitude (Iida): NADeaths: 1,2020-10-30,2020-10-30,272,DOI:10.7289/V5PN93H7,2023-02-02
List of tsunamis,"SPAIN-VALLE GRAN REY, LA GOMERA ISLAND: 14/11/2020 15:00:00",Earthquake mag: NA; Max water height (m): 0.5; Magnitude (Iida): NADeaths: NA,2020-11-14,2020-11-14,1,DOI:10.7289/V5PN93H7,2023-02-02
List of tsunamis,"CANADA-ELLIOT CREEK, BC: 28/11/2020 NA:NA:NA",Earthquake mag: NA; Max water height (m): NA; Magnitude (Iida): NADeaths: NA,2020-11-28,2020-11-28,0,DOI:10.7289/V5PN93H7,2023-02-02
List of tsunamis,CHILE-CENTRAL CHILE: 27/12/2020 21:39:14,Earthquake mag: 6.7; Max water height (m): 0.16; Magnitude (Iida): NADeaths: NA,2020-12-27,2020-12-27,1,DOI:10.7289/V5PN93H7,2023-02-02
List of tsunamis,ANTARCTICA-SCOTIA SEA: 23/01/2021 23:36:50,Earthquake mag: 6.9; Max water height (m): 0.04; Magnitude (Iida): NADeaths: NA,2021-01-23,2021-01-23,2,DOI:10.7289/V5PN93H7,2023-02-02
List of tsunamis,NEW CALEDONIA-LOYALTY ISLANDS: 10/02/2021 13:19:55,Earthquake mag: 7.7; Max water height (m): 0.78; Magnitude (Iida): NADeaths: NA,2021-02-10,2021-02-10,20,DOI:10.7289/V5PN93H7,2023-02-02
List of tsunamis,JAPAN-OFF FUKUSHIMA PREFECTURE: 13/02/2021 14:07:50,Earthquake mag: 7.1; Max water height (m): 0.1; Magnitude (Iida): NADeaths: NA,2021-02-13,2021-02-13,4,DOI:10.7289/V5PN93H7,2023-02-02
List of tsunamis,NEW ZEALAND-GISBORNE: 04/03/2021 13:27:36,Earthquake mag: 7.3; Max water height (m): 0.28; Magnitude (Iida): NADeaths: NA,2021-03-04,2021-03-04,9,DOI:10.7289/V5PN93H7,2023-02-02
List of tsunamis,"NEW ZEALAND-S OF RAOUL ISLAND, KERMADEC ISLANDS: 04/03/2021 17:41:25",Earthquake mag: 7.4; Max water height (m): 0.31; Magnitude (Iida): NADeaths: NA,2021-03-04,2021-03-04,8,DOI:10.7289/V5PN93H7,2023-02-02
List of tsunamis,"NEW ZEALAND-S OF RAOUL ISLAND, KERMADEC ISLANDS: 04/03/2021 19:28:31",Earthquake mag: 8.1; Max water height (m): 1; Magnitude (Iida): NADeaths: NA,2021-03-04,2021-03-04,84,DOI:10.7289/V5PN93H7,2023-02-02
List of tsunamis,ALGERIA-N. ALGERIA: 18/03/2021 00:04:06,Earthquake mag: 6; Max water height (m): 0.06; Magnitude (Iida): NADeaths: NA,2021-03-18,2021-03-18,4,DOI:10.7289/V5PN93H7,2023-02-02
List of tsunamis,INDONESIA-BANDA SEA: 16/06/2021 04:43:07,Earthquake mag: 5.8; Max water height (m): 0.51; Magnitude (Iida): NADeaths: NA,2021-06-16,2021-06-16,3,DOI:10.7289/V5PN93H7,2023-02-02
List of tsunamis,"USA-KODIAK ISLAND, AK: 29/07/2021 06:15:47",Earthquake mag: 8.2; Max water height (m): 0.42; Magnitude (Iida): NADeaths: NA,2021-07-29,2021-07-29,40,DOI:10.7289/V5PN93H7,2023-02-02
List of tsunamis,"PHILIPPINES-MINDANAO ISLAND, PHILIPPINES: 11/08/2021 17:46:14",Earthquake mag: 7.1; Max water height (m): 0.05; Magnitude (Iida): NADeaths: NA,2021-08-11,2021-08-11,2,DOI:10.7289/V5PN93H7,2023-02-02
List of tsunamis,UK TERRITORY-SOUTHERN ATLANTIC OCEAN: 12/08/2021 18:35:20,Earthquake mag: 8.1; Max water height (m): 0.64; Magnitude (Iida): NADeaths: NA,2021-08-12,2021-08-12,52,DOI:10.7289/V5PN93H7,2023-02-02
List of tsunamis,HAITI-PORT-AU-PRINCE: 14/08/2021 12:29:08,Earthquake mag: 7.2; Max water height (m): NA; Magnitude (Iida): NADeaths: NA,2021-08-14,2021-08-14,3,DOI:10.7289/V5PN93H7,2023-02-02
List of tsunamis,MEXICO-S. MEXICO: 08/09/2021 01:47:47,Earthquake mag: 7; Max water height (m): 0.48; Magnitude (Iida): NADeaths: NA,2021-09-08,2021-09-08,1,DOI:10.7289/V5PN93H7,2023-02-02
List of tsunamis,GREECE-CRETE: 12/10/2021 09:24:03,Earthquake mag: 6.4; Max water height (m): NA; Magnitude (Iida): NADeaths: NA,2021-10-12,2021-10-12,0,DOI:10.7289/V5PN93H7,2023-02-02
List of tsunamis,INDONESIA-FLORES SEA: 14/12/2021 03:20:24,Earthquake mag: 7.3; Max water height (m): 0.07; Magnitude (Iida): NADeaths: NA,2021-12-14,2021-12-14,2,DOI:10.7289/V5PN93H7,2023-02-02
List of tsunamis,TONGA-TONGA ISLANDS: 13/01/2022 NA:NA:NA,Earthquake mag: NA; Max water height (m): 0.15; Magnitude (Iida): NADeaths: NA,2022-01-13,2022-01-13,1,DOI:10.7289/V5PN93H7,2023-02-02
List of tsunamis,TONGA-TONGA ISLANDS: 15/01/2022 04:14:45,Earthquake mag: NA; Max water height (m): 22; Magnitude (Iida): NADeaths: 6,2022-01-15,2022-01-15,661,DOI:10.7289/V5PN93H7,2023-02-02
List of tsunamis,TONGA-TONGA ISLANDS: 16/01/2022 NA:NA:NA,Earthquake mag: NA; Max water height (m): 0.36; Magnitude (Iida): NADeaths: NA,2022-01-16,2022-01-16,1,DOI:10.7289/V5PN93H7,2023-02-02
List of tsunamis,NEW ZEALAND-KERMADEC ISLANDS: 29/01/2022 02:46:39,Earthquake mag: 6.5; Max water height (m): 0.1; Magnitude (Iida): NADeaths: NA,2022-01-29,2022-01-29,1,DOI:10.7289/V5PN93H7,2023-02-02
List of tsunamis,JAPAN-OFF FUKUSHIMA PREFECTURE: 16/03/2022 14:36:33,Earthquake mag: 7.3; Max water height (m): 0.3; Magnitude (Iida): NADeaths: NA,2022-03-16,2022-03-16,5,DOI:10.7289/V5PN93H7,2023-02-02
List of tsunamis,NEW CALEDONIA-LOYALTY ISLANDS: 30/03/2022 20:56:58,Earthquake mag: 6.9; Max water height (m): 0.07; Magnitude (Iida): NADeaths: NA,2022-03-30,2022-03-30,3,DOI:10.7289/V5PN93H7,2023-02-02
List of tsunamis,NEW CALEDONIA-LOYALTY ISLANDS: 31/03/2022 05:44:01,Earthquake mag: 7; Max water height (m): 0.05; Magnitude (Iida): NADeaths: NA,2022-03-31,2022-03-31,1,DOI:10.7289/V5PN93H7,2023-02-02
List of tsunamis,MEXICO-S. MEXICO: 25/05/2022 21:43:02,Earthquake mag: 5.5; Max water height (m): 0.24; Magnitude (Iida): NADeaths: NA,2022-05-25,2022-05-25,4,DOI:10.7289/V5PN93H7,2023-02-02
List of tsunamis,CHILE-TODOS LOS SANTOS LAKE: 29/06/2022 14:15:NA,Earthquake mag: NA; Max water height (m): 0.8; Magnitude (Iida): NADeaths: NA,2022-06-29,2022-06-29,1,DOI:10.7289/V5PN93H7,2023-02-02
List of tsunamis,PHILIPPINES-N. LUZON ISLAND: 27/07/2022 00:43:24,Earthquake mag: 7; Max water height (m): 0.08; Magnitude (Iida): NADeaths: NA,2022-07-27,2022-07-27,1,DOI:10.7289/V5PN93H7,2023-02-02
List of tsunamis,MEXICO-MEXICO: 19/09/2022 18:05:06,Earthquake mag: 7.6; Max water height (m): 0.79; Magnitude (Iida): NADeaths: NA,2022-09-19,2022-09-19,14,DOI:10.7289/V5PN93H7,2023-02-02
List of tsunamis,MEXICO-S. MEXICO: 22/09/2022 06:16:09,Earthquake mag: 6.8; Max water height (m): 0.09; Magnitude (Iida): NADeaths: NA,2022-09-22,2022-09-22,3,DOI:10.7289/V5PN93H7,2023-02-02
List of tsunamis,ITALY-STROMBOLI ISLAND: 09/10/2022 07:23:NA,Earthquake mag: NA; Max water height (m): 0.04; Magnitude (Iida): NADeaths: NA,2022-10-09,2022-10-09,2,DOI:10.7289/V5PN93H7,2023-02-02
List of tsunamis,TONGA-TONGA ISLANDS: 11/11/2022 10:48:45,Earthquake mag: 7.3; Max water height (m): 0.12; Magnitude (Iida): NADeaths: NA,2022-11-11,2022-11-11,4,DOI:10.7289/V5PN93H7,2023-02-02
List of tsunamis,SOLOMON ISLANDS-SOLOMON ISLANDS: 22/11/2022 02:03:07,Earthquake mag: 7; Max water height (m): 0.03; Magnitude (Iida): NADeaths: NA,2022-11-22,2022-11-22,1,DOI:10.7289/V5PN93H7,2023-02-02
List of tsunamis,"NEW ZEALAND-LAKE TAUPO, NORTH ISLAND: 30/11/2022 10:48:00",Earthquake mag: 5.4; Max water height (m): 1; Magnitude (Iida): NADeaths: NA,2022-11-30,2022-11-30,4,DOI:10.7289/V5PN93H7,2023-02-02
List of tsunamis,ITALY-STROMBOLI ISLAND: 04/12/2022 NA:NA:NA,Earthquake mag: NA; Max water height (m): 0.75; Magnitude (Iida): NADeaths: NA,2022-12-04,2022-12-04,3,DOI:10.7289/V5PN93H7,2023-02-02
List of tsunamis,INDONESIA-SOUTH MALUKU: 09/01/2023 17:47:35,Earthquake mag: 7.6; Max water height (m): 0.09; Magnitude (Iida): NADeaths: NA,2023-01-09,2023-01-09,2,DOI:10.7289/V5PN93H7,2023-02-02
