Category,Event,Event description,Timepoint start,Timepoint end,Quantity outcome 1,Reference/link to data,Accessed on
List of tsunamis,INDONESIA-SUMATRA: 16/08/2009 07:38:21.7,Earthquake mag: 6.7; Max water height (m): 0.18; Magnitude (Iida): NADeaths: NA,2009-08-16,2009-08-16,1,DOI:10.7289/V5PN93H7,2023-02-02
List of tsunamis,"USA-COLUMBIA RIVER VALLEY, WA: 25/08/2009 NA:NA:NA",Earthquake mag: NA; Max water height (m): NA; Magnitude (Iida): NADeaths: NA,2009-08-25,2009-08-25,1,DOI:10.7289/V5PN93H7,2023-02-02
List of tsunamis,INDONESIA-JAVA SEA: 02/09/2009 07:55:01,Earthquake mag: 7; Max water height (m): 0.4; Magnitude (Iida): NADeaths: NA,2009-09-02,2009-09-02,2,DOI:10.7289/V5PN93H7,2023-02-02
List of tsunamis,SAMOA-SAMOA ISLANDS: 29/09/2009 17:48:10.9,Earthquake mag: 8.1; Max water height (m): 22.35; Magnitude (Iida): NADeaths: 192,2009-09-29,2009-09-29,625,DOI:10.7289/V5PN93H7,2023-02-02
List of tsunamis,INDONESIA-SUMATRA: 30/09/2009 10:16:9.2,Earthquake mag: 7.5; Max water height (m): 0.27; Magnitude (Iida): NADeaths: NA,2009-09-30,2009-09-30,1,DOI:10.7289/V5PN93H7,2023-02-02
List of tsunamis,VANUATU-VANUATU ISLANDS: 07/10/2009 22:03:14.4,Earthquake mag: 7.6; Max water height (m): 0.29; Magnitude (Iida): NADeaths: NA,2009-10-07,2009-10-07,37,DOI:10.7289/V5PN93H7,2023-02-02
List of tsunamis,SOUTH KOREA-CHEJU (JEJU) STRAIT: 02/01/2010 NA:NA:NA,Earthquake mag: NA; Max water height (m): NA; Magnitude (Iida): NADeaths: 1,2010-01-02,2010-01-02,0,DOI:10.7289/V5PN93H7,2023-02-02
List of tsunamis,SOLOMON ISLANDS-SOLOMON ISLANDS: 03/01/2010 21:48:5.3,Earthquake mag: 6.6; Max water height (m): 0.01; Magnitude (Iida): NADeaths: NA,2010-01-03,2010-01-03,1,DOI:10.7289/V5PN93H7,2023-02-02
List of tsunamis,SOLOMON ISLANDS-SOLOMON ISLANDS: 03/01/2010 22:36:27.9,Earthquake mag: 7.1; Max water height (m): 7.52; Magnitude (Iida): NADeaths: NA,2010-01-03,2010-01-03,51,DOI:10.7289/V5PN93H7,2023-02-02
List of tsunamis,SOLOMON ISLANDS-SOLOMON ISLANDS: 05/01/2010 12:15:32.2,Earthquake mag: 6.8; Max water height (m): 0.03; Magnitude (Iida): NADeaths: NA,2010-01-05,2010-01-05,1,DOI:10.7289/V5PN93H7,2023-02-02
