Category,Event,Event description,Timepoint start,Timepoint end,Quantity outcome 1,Reference/link to data,Accessed on
Major oil spills,Xingang Port oil spill,"Location: China, Yellow Sea, Owner: NA",2010-07-16,2010-07-21,45750,https://en.wikipedia.org/wiki/List_of_oil_spills,2023-01-20
Major oil spills,Jebel al-Zayt oil spill,"Location: Egypt, Red Sea, Owner: NA",2010-06-16,2010-06-23,,https://en.wikipedia.org/wiki/List_of_oil_spills,2023-01-20
Major oil spills,Red Butte Creek oil spill,"Location: United States, Salt Lake City, Utah, Owner: NA",2010-06-11,2010-06-12,86,https://en.wikipedia.org/wiki/List_of_oil_spills,2023-01-20
Major oil spills,Trans-Alaska Pipeline,"Location: United States, Anchorage, Alaska, Owner: NA",2010-05-25,,800,https://en.wikipedia.org/wiki/List_of_oil_spills,2023-01-20
Major oil spills,MT Bunga Kelana 3,"Location: Singapore, Singapore Strait, Owner: NA",2010-05-25,,2250,https://en.wikipedia.org/wiki/List_of_oil_spills,2023-01-20
Major oil spills,ExxonMobil,"Location: Nigeria, Niger Delta, Owner: ExxonMobil",2010-05-01,,49373,https://en.wikipedia.org/wiki/List_of_oil_spills,2023-01-20
Major oil spills,Deepwater Horizon,"Location: United States, Gulf of Mexico, Owner: BP",2010-04-20,2010-07-15,559500,https://en.wikipedia.org/wiki/List_of_oil_spills,2023-01-20
Major oil spills,Great Barrier Reef / MV Shen Neng 1,"Location: Australia, Great Keppel Island, Owner: Shenzhen Energy",2010-04-03,,3.5,https://en.wikipedia.org/wiki/List_of_oil_spills,2023-01-20
Major oil spills,Lambro and Po rivers,"Location: Italy, Lombardy, Monza, Owner: NA",2010-02-23,,15,https://en.wikipedia.org/wiki/List_of_oil_spills,2023-01-20
Major oil spills,Port Arthur oil spill,"Location: United States, Port Arthur, Texas, Owner: ExxonMobil",2010-01-23,,1500,https://en.wikipedia.org/wiki/List_of_oil_spills,2023-01-20
Major oil spills,Yellow River oil spill,"Location: China, Chishui River (Shaanxi), Owner: China National Petroleum Corporation",2010-01-05,,130,https://en.wikipedia.org/wiki/List_of_oil_spills,2023-01-20
Major oil spills,Montara oil spill,"Location: Australia, Timor Sea, Owner: PTT Exploration and Production",2009-08-21,,17000,https://en.wikipedia.org/wiki/List_of_oil_spills,2023-01-20
Major oil spills,Full City,"Location: Norway, Rognsfjorden near Såstein south of Langesund, Owner: COSCO",2009-07-31,,200,https://en.wikipedia.org/wiki/List_of_oil_spills,2023-01-20
Major oil spills,Lüderitz oil spill,"Location: Namibia, Southern coast, Owner: unknown",2009-04-08,,,https://en.wikipedia.org/wiki/List_of_oil_spills,2023-01-20
Major oil spills,Pacific Adventurer,"Location: Australia, Queensland, Owner: Swire Shipping",2009-03-10,,245,https://en.wikipedia.org/wiki/List_of_oil_spills,2023-01-20
Major oil spills,West Cork oil spill,"Location: Ireland, Southern coast, Owner: NA",February 2009,,300,https://en.wikipedia.org/wiki/List_of_oil_spills,2023-01-20
Major oil spills,Shell Bodo pipeline oil spill,"Location: Nigeria, Owner: Royal Dutch Shell",2008-08-01,,1000,https://en.wikipedia.org/wiki/List_of_oil_spills,2023-01-20
Major oil spills,2008 New Orleans oil spill,"Location: United States, New Orleans, Louisiana, Owner: NA",2008-07-28,,8800,https://en.wikipedia.org/wiki/List_of_oil_spills,2023-01-20
Major oil spills,Syros / Seabird collision,"Location: Uruguay, near the Rio de la Plata, Montevideo, Owner: NA",2008-06-04,,140,https://en.wikipedia.org/wiki/List_of_oil_spills,2023-01-20
Major oil spills,Supe,"Location: Peru, off Zorritos, Owner: NA",2008-01-31,,35,https://en.wikipedia.org/wiki/List_of_oil_spills,2023-01-20
Major oil spills,Statfjord oil spill,"Location: Norway, Norwegian Sea, Owner: Statoil Petroleum, ExxonMobil, Centrica",2007-12-12,,4000,https://en.wikipedia.org/wiki/List_of_oil_spills,2023-01-20
Major oil spills,Korea oil spill,"Location: South Korea, Yellow Sea, Owner: NA",2007-12-07,,10800,https://en.wikipedia.org/wiki/List_of_oil_spills,2023-01-20
Major oil spills,Kerch Strait oil spill,"Location: Ukraine Russia, Strait of Kerch, Owner: NA",2007-11-11,,1000,https://en.wikipedia.org/wiki/List_of_oil_spills,2023-01-20
Major oil spills,COSCO Busan oil spill,"Location: United States, San Francisco, California, Owner: NA",2007-11-07,,188,https://en.wikipedia.org/wiki/List_of_oil_spills,2023-01-20
Major oil spills,Kab 101,"Location: Mexico, Bay of Campeche, Owner: NA",2007-10-23,2007-12-17,1869,https://en.wikipedia.org/wiki/List_of_oil_spills,2023-01-20
Major oil spills,Genmar Progress Spill,"Location: Puerto Rico, Guayanilla, Puerto Rico, Owner: General Maritime Corporation (GMC) Progress LLC",2007-08-30,,151,https://en.wikipedia.org/wiki/List_of_oil_spills,2023-01-20
Major oil spills,Burnaby spill,"Location: Canada, Burnaby, British Columbia, Owner: Kinder Morgan Energy Partners",2007-07-24,,201,https://en.wikipedia.org/wiki/List_of_oil_spills,2023-01-20
Major oil spills,Guimaras oil spill,"Location: Philippines, Guimaras Strait, Owner: NA",2006-08-11,,856,https://en.wikipedia.org/wiki/List_of_oil_spills,2023-01-20
Major oil spills,Jiyeh power station oil spill,"Location: Lebanon, Owner: NA",2006-07-14,2006-07-15,25000,https://en.wikipedia.org/wiki/List_of_oil_spills,2023-01-20
