Category ID,Category,Event,Event description,country,ccode,type,src
G3,Inter-state wars,Gulf War,"Inter-state war: Kuwait, United States of America, Canada, United Kingdom, Italy, Morocco, Iraq, Egypt, Oman, France, United Arab Emirates, Qatar, Saudi Arabia, Syria",Saudi Arabia,SAU,Polity,data
G3,Inter-state wars,Gulf War,"Inter-state war: Kuwait, United States of America, Canada, United Kingdom, Italy, Morocco, Iraq, Egypt, Oman, France, United Arab Emirates, Qatar, Saudi Arabia, Syria",Kuwait,KUW,Polity,data
G3,Inter-state wars,Gulf War,"Inter-state war: Kuwait, United States of America, Canada, United Kingdom, Italy, Morocco, Iraq, Egypt, Oman, France, United Arab Emirates, Qatar, Saudi Arabia, Syria",Qatar,QAT,Polity,data
G3,Inter-state wars,Gulf War,"Inter-state war: Kuwait, United States of America, Canada, United Kingdom, Italy, Morocco, Iraq, Egypt, Oman, France, United Arab Emirates, Qatar, Saudi Arabia, Syria",United Arab Emirates,UAE,Polity,data
G3,Inter-state wars,Gulf War,"Inter-state war: Kuwait, United States of America, Canada, United Kingdom, Italy, Morocco, Iraq, Egypt, Oman, France, United Arab Emirates, Qatar, Saudi Arabia, Syria",Oman,OMA,Polity,data
G3,Inter-state wars,Hungarian Adversaries,"Inter-state war: Hungary, Czechoslovakia, Romania",Hungary,HUN,Polity,data
G3,Inter-state wars,Hungarian Adversaries,"Inter-state war: Hungary, Czechoslovakia, Romania",Czechoslovakia,CZE,Polity,data
G3,Inter-state wars,Hungarian Adversaries,"Inter-state war: Hungary, Czechoslovakia, Romania",Romania,ROM,Polity,data
G3,Inter-state wars,IfniWar,"Inter-state war: France, Spain, Morocco",France,FRN,Polity,data
G3,Inter-state wars,IfniWar,"Inter-state war: France, Spain, Morocco",Spain,SPN,Polity,data
G3,Inter-state wars,IfniWar,"Inter-state war: France, Spain, Morocco",Morocco,MOR,Polity,data
G3,Inter-state wars,Invasion of Afghanistan,"Inter-state war: Canada, France, United Kingdom, United States of America, Australia, Afghanistan",United States of America,USA,Polity,data
G3,Inter-state wars,Invasion of Afghanistan,"Inter-state war: Canada, France, United Kingdom, United States of America, Australia, Afghanistan",Canada,CAN,Polity,data
G3,Inter-state wars,Invasion of Afghanistan,"Inter-state war: Canada, France, United Kingdom, United States of America, Australia, Afghanistan",United Kingdom,UKG,Polity,data
G3,Inter-state wars,Invasion of Afghanistan,"Inter-state war: Canada, France, United Kingdom, United States of America, Australia, Afghanistan",France,FRN,Polity,data
G3,Inter-state wars,Invasion of Afghanistan,"Inter-state war: Canada, France, United Kingdom, United States of America, Australia, Afghanistan",Afghanistan,AFG,Polity,data
G3,Inter-state wars,Invasion of Afghanistan,"Inter-state war: Canada, France, United Kingdom, United States of America, Australia, Afghanistan",Australia,AUL,Polity,data
G3,Inter-state wars,Invasion of Iraq,"Inter-state war: Australia, United Kingdom, United States of America, Iraq",United States of America,USA,Polity,data
G3,Inter-state wars,Invasion of Iraq,"Inter-state war: Australia, United Kingdom, United States of America, Iraq",United Kingdom,UKG,Polity,data
G3,Inter-state wars,Invasion of Iraq,"Inter-state war: Australia, United Kingdom, United States of America, Iraq",Iraq,IRQ,Polity,data
G3,Inter-state wars,Invasion of Iraq,"Inter-state war: Australia, United Kingdom, United States of America, Iraq",Australia,AUL,Polity,data
G3,Inter-state wars,Iran-Iraq,"Inter-state war: Iraq, Iran",Iran,IRN,Polity,data
G3,Inter-state wars,Iran-Iraq,"Inter-state war: Iraq, Iran",Iraq,IRQ,Polity,data
G3,Inter-state wars,Italian Unification,"Inter-state war: Sardinia/Piedmont, Austria, France",France,FRN,Polity,data
G3,Inter-state wars,Italian Unification,"Inter-state war: Sardinia/Piedmont, Austria, France",Austria-Hungary,AUH,Polity,data
G3,Inter-state wars,Italian Unification,"Inter-state war: Sardinia/Piedmont, Austria, France",Italy,ITA,Polity,data
G3,Inter-state wars,Italian-Roman,"Inter-state war: Sardinia/Piedmont, Papal States",Italy,ITA,Polity,data
G3,Inter-state wars,Italian-Roman,"Inter-state war: Sardinia/Piedmont, Papal States",Papal States,PAP,Polity,data
G3,Inter-state wars,Italian-Turkish,"Inter-state war: Italy, Turkey",Italy,ITA,Polity,data
G3,Inter-state wars,Italian-Turkish,"Inter-state war: Italy, Turkey",Turkey,TUR,Polity,data
G3,Inter-state wars,Kargil War,"Inter-state war: India, Pakistan",India,IND,Polity,data
G3,Inter-state wars,Kargil War,"Inter-state war: India, Pakistan",Pakistan,PAK,Polity,data
G3,Inter-state wars,Korean,"Inter-state war: China, Belgium, Canada, Colombia, United Kingdom, Netherlands, Greece, France, Turkey, Philippines, Thailand, North Korea, Ethiopia, Australia, South Korea, United States of America",United States of America,USA,Polity,data
G3,Inter-state wars,Korean,"Inter-state war: China, Belgium, Canada, Colombia, United Kingdom, Netherlands, Greece, France, Turkey, Philippines, Thailand, North Korea, Ethiopia, Australia, South Korea, United States of America",Canada,CAN,Polity,data
G3,Inter-state wars,Korean,"Inter-state war: China, Belgium, Canada, Colombia, United Kingdom, Netherlands, Greece, France, Turkey, Philippines, Thailand, North Korea, Ethiopia, Australia, South Korea, United States of America",Colombia,COL,Polity,data
G3,Inter-state wars,Korean,"Inter-state war: China, Belgium, Canada, Colombia, United Kingdom, Netherlands, Greece, France, Turkey, Philippines, Thailand, North Korea, Ethiopia, Australia, South Korea, United States of America",United Kingdom,UKG,Polity,data
G3,Inter-state wars,Korean,"Inter-state war: China, Belgium, Canada, Colombia, United Kingdom, Netherlands, Greece, France, Turkey, Philippines, Thailand, North Korea, Ethiopia, Australia, South Korea, United States of America",Netherlands,NTH,Polity,data
G3,Inter-state wars,Korean,"Inter-state war: China, Belgium, Canada, Colombia, United Kingdom, Netherlands, Greece, France, Turkey, Philippines, Thailand, North Korea, Ethiopia, Australia, South Korea, United States of America",Belgium,BEL,Polity,data
G3,Inter-state wars,Korean,"Inter-state war: China, Belgium, Canada, Colombia, United Kingdom, Netherlands, Greece, France, Turkey, Philippines, Thailand, North Korea, Ethiopia, Australia, South Korea, United States of America",France,FRN,Polity,data
G3,Inter-state wars,Korean,"Inter-state war: China, Belgium, Canada, Colombia, United Kingdom, Netherlands, Greece, France, Turkey, Philippines, Thailand, North Korea, Ethiopia, Australia, South Korea, United States of America",Greece,GRC,Polity,data
G3,Inter-state wars,Korean,"Inter-state war: China, Belgium, Canada, Colombia, United Kingdom, Netherlands, Greece, France, Turkey, Philippines, Thailand, North Korea, Ethiopia, Australia, South Korea, United States of America",Ethiopia,ETH,Polity,data
G3,Inter-state wars,Korean,"Inter-state war: China, Belgium, Canada, Colombia, United Kingdom, Netherlands, Greece, France, Turkey, Philippines, Thailand, North Korea, Ethiopia, Australia, South Korea, United States of America",Turkey,TUR,Polity,data
G3,Inter-state wars,Korean,"Inter-state war: China, Belgium, Canada, Colombia, United Kingdom, Netherlands, Greece, France, Turkey, Philippines, Thailand, North Korea, Ethiopia, Australia, South Korea, United States of America",China,CHN,Polity,data
G3,Inter-state wars,Korean,"Inter-state war: China, Belgium, Canada, Colombia, United Kingdom, Netherlands, Greece, France, Turkey, Philippines, Thailand, North Korea, Ethiopia, Australia, South Korea, United States of America",North Korea,PRK,Polity,data
G3,Inter-state wars,Korean,"Inter-state war: China, Belgium, Canada, Colombia, United Kingdom, Netherlands, Greece, France, Turkey, Philippines, Thailand, North Korea, Ethiopia, Australia, South Korea, United States of America",South Korea,ROK,Polity,data
G3,Inter-state wars,Korean,"Inter-state war: China, Belgium, Canada, Colombia, United Kingdom, Netherlands, Greece, France, Turkey, Philippines, Thailand, North Korea, Ethiopia, Australia, South Korea, United States of America",Thailand,THI,Polity,data
G3,Inter-state wars,Korean,"Inter-state war: China, Belgium, Canada, Colombia, United Kingdom, Netherlands, Greece, France, Turkey, Philippines, Thailand, North Korea, Ethiopia, Australia, South Korea, United States of America",Philippines,PHI,Polity,data
G3,Inter-state wars,Korean,"Inter-state war: China, Belgium, Canada, Colombia, United Kingdom, Netherlands, Greece, France, Turkey, Philippines, Thailand, North Korea, Ethiopia, Australia, South Korea, United States of America",Australia,AUL,Polity,data
G3,Inter-state wars,La Plata,"Inter-state war: Argentina, Brazil",Brazil,BRA,Polity,data
G3,Inter-state wars,La Plata,"Inter-state war: Argentina, Brazil",Argentina,ARG,Polity,data
G3,Inter-state wars,Latvian Liberation,"Inter-state war: Germany, Russia, Estonia, Latvia",Germany,GMY,Polity,data
G3,Inter-state wars,Latvian Liberation,"Inter-state war: Germany, Russia, Estonia, Latvia",Russia,RUS,Polity,data
G3,Inter-state wars,Latvian Liberation,"Inter-state war: Germany, Russia, Estonia, Latvia",Estonia,EST,Polity,data
G3,Inter-state wars,Latvian Liberation,"Inter-state war: Germany, Russia, Estonia, Latvia",Latvia,LAT,Polity,data
