Category ID,Category,Event,Event description,Country,
G15,Structural failures and collapses,Kinzua Bridge,"Bridge - Kinzua Bridge State Park, Pennsylvania, US",US,
G15,Structural failures and collapses,2003 Chicago balcony collapse,"Balcony - Chicago, Illinois, US",US,
G15,Structural failures and collapses,Big Bay Dam,"Dam - Mississippi, US",US,
G15,Structural failures and collapses,Camará Dam,Dam - Brazil,Brazil,
G15,Structural failures and collapses,"Collapse of the Terminal 2E roof, Charles de Gaulle Airport","Airport terminal - Roissy-en-France, Val-d'Oise, France",France,
G15,Structural failures and collapses,Transvaal Park,"Water park - Moscow, Russia",Russia,
G15,Structural failures and collapses,Igor I. Sikorsky Memorial Bridge crane collapse,"Bridge-deconstruction crane - Connecticut, US",US,
G15,Structural failures and collapses,Peterborough radio mast,"Guyed mast - Peterborough, Cambridgeshire, England, UK",UK,
G15,Structural failures and collapses,Nicoll Highway collapse,"Tunnel under construction - Kallang, Singapore",Singapore,
G15,Structural failures and collapses,Shakidor Dam,Dam - Pakistan,Pakistan,
G15,Structural failures and collapses,Margalla Towers,"Residential building - Islamabad, Pakistan",Pakistan,
G15,Structural failures and collapses,Taum Sauk Reservoir,"Dam - Lesterville, Missouri, US",US,
G15,Structural failures and collapses,School No. 4,"School - Zverevo, Rostov Oblast, Russia",Russia,
G15,Structural failures and collapses,Gerrards Cross Tunnel,"Tunnel - Gerrards Cross, Buckinghamshire, England, UK",UK,
G15,Structural failures and collapses,Sadaf Manzil,"Residential building - Nagpada, Mumbai, India",India,
G15,Structural failures and collapses,Bad Reichenhall Ice Rink roof collapse,"Stadium roof - Bad Reichenhall, Germany",Germany,
G15,Structural failures and collapses,Katowice Trade Hall roof collapse,"Market roof - Katowice, Poland",Poland,
G15,Structural failures and collapses,Basmanny market roof collapse,"Market roof - Moscow, Russia",Russia,
G15,Structural failures and collapses,2006 Lagos building collapses,"Three buildings - one residential, commercial and under construction, respectively - Lagos, Nigeria",Nigeria,
G15,Structural failures and collapses,Interstate 88 bridge collapse,"Bridge - Unadilla, New York, US",US,
G15,Structural failures and collapses,Big Dig ceiling collapse,"Ceiling tile - South Boston, Massachusetts, US",US,
G15,Structural failures and collapses,De la Concorde overpass collapse,"Overpass - Laval, Quebec, Canada",Canada,
G15,Structural failures and collapses,Crab House - Floor collapsed into the water,"Building - Wildwood Crest, New Jersey, US",US,
G15,Structural failures and collapses,Neurath Power Station Scaffold collapse,"Power station under construction - Grevenbroich-Neurath, Germany",Germany,
G15,Structural failures and collapses,WNEP-TV Tower,"Guyed mast - Penobscot Knob, Mountaintop, Pennsylvania, US",US,
G15,Structural failures and collapses,I-35W Mississippi River bridge collapse,"Bridge - Minneapolis, Minnesota, US",US,
G15,Structural failures and collapses,Collapse of bridge over the Jiantuo River during construction,"Bridge - Hunan, China",China,
G15,Structural failures and collapses,Collapse of Cần Thơ Bridge,"Bridge - Cần Thơ, Vietnam",Vietnam,
G15,Structural failures and collapses,Estádio Fonte Nova,"Stadium - Salvador, Brazil",Brazil,
G15,Structural failures and collapses,Charleston Sofa Super Store,"Furniture store - Charleston, South Carolina, U.S.",U.S.,
G15,Structural failures and collapses,Hornslet wind-turbine collapse,"Wind turbine - Hornslet, Denmark",Denmark,
G15,Structural failures and collapses,303 East 51st Street crane collapse,"Crane - Manhattan, New York City, US",US,
G15,Structural failures and collapses,Belyayevka School,"School - Belyayevka, Orenburg Oblast, Russia",Russia,
G15,Structural failures and collapses,Christian rock concert stage collapse,"Stage - Abbotsford, British Columbia, Canada",Canada,
G15,Structural failures and collapses,Historical Archive of the City of Cologne collapse,"Building - Cologne, North Rhine-Westphalia, Germany",Germany,
G15,Structural failures and collapses,Collapse of Lotus Riverside Block 7,"Residential building - Shanghai, China",China,
G15,Structural failures and collapses,Broadmeadow viaduct,"Bridge - Malahide, Ireland",Ireland,
G15,Structural failures and collapses,Sultan Mizan Zainal Abidin Stadium,"Stadium - Terengganu, Malaysia",Malaysia,
G15,Structural failures and collapses,2009 Korba chimney collapse," - Korba, Chhattisgarh, India",India,
