Category ID,Category,Event,Event description,country,ccode,type
G3,Inter-state wars,Invasion of Afghanistan,"Inter-state war: Canada, France, United Kingdom, United States of America, Australia, Afghanistan",France,FRA,Polity
G3,Inter-state wars,Invasion of Afghanistan,"Inter-state war: Canada, France, United Kingdom, United States of America, Australia, Afghanistan",United Kingdom of Great Britain and Northern Ireland (the),GBR,Polity
G3,Inter-state wars,Invasion of Afghanistan,"Inter-state war: Canada, France, United Kingdom, United States of America, Australia, Afghanistan",United States of America (the),USA,Polity
G3,Inter-state wars,Invasion of Iraq,"Inter-state war: Australia, United Kingdom, United States of America, Iraq",Australia,AUS,Polity
G3,Inter-state wars,Invasion of Iraq,"Inter-state war: Australia, United Kingdom, United States of America, Iraq",Iraq,IRQ,Both
G3,Inter-state wars,Invasion of Iraq,"Inter-state war: Australia, United Kingdom, United States of America, Iraq",United Kingdom of Great Britain and Northern Ireland (the),GBR,Polity
G3,Inter-state wars,Invasion of Iraq,"Inter-state war: Australia, United Kingdom, United States of America, Iraq",United States of America (the),USA,Polity
G3,Inter-state wars,Iran-Iraq,"Inter-state war: Iraq, Iran",Iran (Islamic Republic of),IRN,Both
G3,Inter-state wars,Iran-Iraq,"Inter-state war: Iraq, Iran",Iraq,IRQ,Both
G3,Inter-state wars,Italian Unification,"Inter-state war: Sardinia/Piedmont, Austria, France",France,FRA,Polity
G3,Inter-state wars,Italian Unification,"Inter-state war: Sardinia/Piedmont, Austria, France",Italy,ITA,Both
G3,Inter-state wars,Italian-Roman,"Inter-state war: Sardinia/Piedmont, Papal States",Italy,ITA,Geography
G3,Inter-state wars,Italian-Turkish,"Inter-state war: Italy, Turkey",Italy,ITA,Polity
G3,Inter-state wars,Italian-Turkish,"Inter-state war: Italy, Turkey",Türkiye,TUR,Polity
G3,Inter-state wars,Kargil War,"Inter-state war: India, Pakistan",India,IND,Polity
G3,Inter-state wars,Kargil War,"Inter-state war: India, Pakistan",Pakistan,PAK,Polity
G3,Inter-state wars,Korean,"Inter-state war: China, Belgium, Canada, Colombia, United Kingdom, Netherlands, Greece, France, Turkey, Philippines, Thailand, North Korea, Ethiopia, Australia, South Korea, United States of America",Australia,AUS,Polity
G3,Inter-state wars,Korean,"Inter-state war: China, Belgium, Canada, Colombia, United Kingdom, Netherlands, Greece, France, Turkey, Philippines, Thailand, North Korea, Ethiopia, Australia, South Korea, United States of America",Belgium,BEL,Polity
G3,Inter-state wars,Korean,"Inter-state war: China, Belgium, Canada, Colombia, United Kingdom, Netherlands, Greece, France, Turkey, Philippines, Thailand, North Korea, Ethiopia, Australia, South Korea, United States of America",Canada,CAN,Polity
G3,Inter-state wars,Korean,"Inter-state war: China, Belgium, Canada, Colombia, United Kingdom, Netherlands, Greece, France, Turkey, Philippines, Thailand, North Korea, Ethiopia, Australia, South Korea, United States of America",China,CHN,Polity
G3,Inter-state wars,Korean,"Inter-state war: China, Belgium, Canada, Colombia, United Kingdom, Netherlands, Greece, France, Turkey, Philippines, Thailand, North Korea, Ethiopia, Australia, South Korea, United States of America",Colombia,COL,Polity
G3,Inter-state wars,Korean,"Inter-state war: China, Belgium, Canada, Colombia, United Kingdom, Netherlands, Greece, France, Turkey, Philippines, Thailand, North Korea, Ethiopia, Australia, South Korea, United States of America",Ethiopia,ETH,Polity
G3,Inter-state wars,Korean,"Inter-state war: China, Belgium, Canada, Colombia, United Kingdom, Netherlands, Greece, France, Turkey, Philippines, Thailand, North Korea, Ethiopia, Australia, South Korea, United States of America",France,FRA,Polity
G3,Inter-state wars,Korean,"Inter-state war: China, Belgium, Canada, Colombia, United Kingdom, Netherlands, Greece, France, Turkey, Philippines, Thailand, North Korea, Ethiopia, Australia, South Korea, United States of America",Greece,GRC,Polity
G3,Inter-state wars,Korean,"Inter-state war: China, Belgium, Canada, Colombia, United Kingdom, Netherlands, Greece, France, Turkey, Philippines, Thailand, North Korea, Ethiopia, Australia, South Korea, United States of America",Korea (the Democratic People's Republic of),PRK,Both
G3,Inter-state wars,Korean,"Inter-state war: China, Belgium, Canada, Colombia, United Kingdom, Netherlands, Greece, France, Turkey, Philippines, Thailand, North Korea, Ethiopia, Australia, South Korea, United States of America",Korea (the Republic of),KOR,Both
G3,Inter-state wars,Korean,"Inter-state war: China, Belgium, Canada, Colombia, United Kingdom, Netherlands, Greece, France, Turkey, Philippines, Thailand, North Korea, Ethiopia, Australia, South Korea, United States of America","Netherlands, Kingdom of the",NLD,Polity
G3,Inter-state wars,Korean,"Inter-state war: China, Belgium, Canada, Colombia, United Kingdom, Netherlands, Greece, France, Turkey, Philippines, Thailand, North Korea, Ethiopia, Australia, South Korea, United States of America",Philippines (the),PHL,Polity
G3,Inter-state wars,Korean,"Inter-state war: China, Belgium, Canada, Colombia, United Kingdom, Netherlands, Greece, France, Turkey, Philippines, Thailand, North Korea, Ethiopia, Australia, South Korea, United States of America",Thailand,THA,Polity
G3,Inter-state wars,Korean,"Inter-state war: China, Belgium, Canada, Colombia, United Kingdom, Netherlands, Greece, France, Turkey, Philippines, Thailand, North Korea, Ethiopia, Australia, South Korea, United States of America",Türkiye,TUR,Polity
G3,Inter-state wars,Korean,"Inter-state war: China, Belgium, Canada, Colombia, United Kingdom, Netherlands, Greece, France, Turkey, Philippines, Thailand, North Korea, Ethiopia, Australia, South Korea, United States of America",United Kingdom of Great Britain and Northern Ireland (the),GBR,Polity
G3,Inter-state wars,Korean,"Inter-state war: China, Belgium, Canada, Colombia, United Kingdom, Netherlands, Greece, France, Turkey, Philippines, Thailand, North Korea, Ethiopia, Australia, South Korea, United States of America",United States of America (the),USA,Polity
G3,Inter-state wars,La Plata,"Inter-state war: Argentina, Brazil",Argentina,ARG,Both
G3,Inter-state wars,La Plata,"Inter-state war: Argentina, Brazil",Brazil,BRA,Both
G3,Inter-state wars,La Plata,"Inter-state war: Argentina, Brazil",Uruguay,URY,Geography
G3,Inter-state wars,Latvian Liberation,"Inter-state war: Germany, Russia, Estonia, Latvia",Estonia,EST,Polity
G3,Inter-state wars,Latvian Liberation,"Inter-state war: Germany, Russia, Estonia, Latvia",Germany,DEU,Polity
G3,Inter-state wars,Latvian Liberation,"Inter-state war: Germany, Russia, Estonia, Latvia",Latvia,LVA,Both
G3,Inter-state wars,Latvian Liberation,"Inter-state war: Germany, Russia, Estonia, Latvia",USSR,SUN,Both
G3,Inter-state wars,Lithuanian-Polish,"Inter-state war: Lithuania, Poland",Lithuania,LTU,Both
G3,Inter-state wars,Lithuanian-Polish,"Inter-state war: Lithuania, Poland",Poland,POL,Both
G3,Inter-state wars,Lopez,"Inter-state war: Argentina, Paraguay, Brazil",Argentina,ARG,Polity
G3,Inter-state wars,Lopez,"Inter-state war: Argentina, Paraguay, Brazil",Brazil,BRA,Polity
G3,Inter-state wars,Lopez,"Inter-state war: Argentina, Paraguay, Brazil",Paraguay,PRY,Both
G3,Inter-state wars,Manchurian,"Inter-state war: USSR, China",China,CHN,Geography
G3,Inter-state wars,Manchurian,"Inter-state war: USSR, China",USSR,SUN,Polity
G3,Inter-state wars,Mexican-American,"Inter-state war: Mexico, United States of America",Mexico,MEX,Both
G3,Inter-state wars,Mexican-American,"Inter-state war: Mexico, United States of America",United States of America (the),USA,Polity
G3,Inter-state wars,Naval War,"Inter-state war: Chile, Peru, Spain",Chile,CHL,Polity
G3,Inter-state wars,Naval War,"Inter-state war: Chile, Peru, Spain",Peru,PER,Both
G3,Inter-state wars,Naval War,"Inter-state war: Chile, Peru, Spain",Spain,ESP,Polity
G3,Inter-state wars,Neapolitan,"Inter-state war: Two Sicilies, Sardinia/Piedmont",Italy,ITA,Geography
G3,Inter-state wars,Nomonhan,"Inter-state war: USSR, Mongolia, Japan",Japan,JPN,Polity
